Title,Price,what_you_learn,Slug,instructor
The Modern Economy: Finance,85,You will know how finance works in an organization You will be able to raise a fund by knowing where you get the fund You will learn the different principles that will help you to meet your daily obligations You will differentiate between price and value You will know how the purchasing power of money decreases You will identify how risk affects return ,the-modern-economy-finance-47WB,International Online University
How To – WordPress Plugins Upgrade,92,Master hiring strategies for skilled WordPress programmers.Navigate top freelancer sites for optimal talent recruitment.Craft compelling job posts for effective project communication.Optimize outsourcing processes for efficient collaboration.Elevate plugin development with audience-focused creations.,how-to-wordpress-plugin-outsourcing-upgrade-tSxv,International Online University
How To – WordPress Plugins,89,Understand the process of generating plugin ideas.Learn techniques to validate and align ideas with market trends.Develop skills for user-centric design.Master the art of writing clear specifications.Gain insights into effective collaboration for plugin development.,how-to-wp-plugin-outsourcing-zEmR,International Online University
Introduction to Python,52,"The basic knowledge of programming and the syntax of the Python programming language.Learners can make any simple project in Python.Familiarize beginners with Python's simplicity and versatility, emphasizing its role in research, analysis, and development.Enable students, regardless of their programming background, to grasp Python concepts through practical small projects.Provide a concise yet comprehensive overview of Python's interpreted, object-oriented, and high-level features, emphasizing modularity and code reuse.",introduction-to-python-REZB,Deawan Rakin Ahamed Remal
WordPress LMS Setup,81,Learn to hire WordPress programmers effectively.Explore freelancer sites and research techniques for informed decisions.Develop budget planning skills for fair project compensation.Craft compelling job posts and understand search parameters.Attain technical and strategic skills for successful WordPress LMS setup.,wordpress-lms-setup-CM5P,International Online University
Academic English Writing,91,This course aims to give you an understanding of the conventions of academic writing in English.Teaches you the components and benefits of what is called process writing.Helps you to put together your own “toolbox” of academic writing skills.,academic-english-writing-c65f,International Online University
MLA Citation Style,65,"This course will enable a writer to organize a write-up by providing an opportunity to learn MLA citation style.The learner will learn how to write the reference section in a research paper.How to do in-text citations in a research paper or any type of write-up.Learners will learn to do the citation of books, ebooks, journal articles, newspaper articles, magazine articles, short stories, essays, poetry, interviews, videos, blogs, and website posts.",mla-citation-style-qAdq,International Online University
YouTube Channel SEO,91,"Understand YouTube algorithms and strategies to drive traffic and engagement.Set realistic growth expectations and dispel myths about YouTube success.Align content with Google's preferences and develop a strategic plan for optimization.Master the importance of ""The Ring"" in boosting video reach and engagement.Learn advanced automation techniques, account creation, and outsourcing for effective channel scaling.",youtube-channel-seo-0Ay5,International Online University
Video Marketing Techniques,78,"Learn leading services for seamless content creation.Develop a strategic blueprint for engaging and successful channels.Explore advanced strategies for increased visibility.Employ Annotations, Lead Cards, and Ninja Tools strategically.Master data interpretation for informed content strategy.",video-marketing-techniques-LXSM,International Online University
Tips to avoid common mistakes in English,68,Various grammatical hurdlesLearning how to use English confidently Language skills to communicate in real-time and in real-lifeTo minimize frequent mistakes in Daily lifeTo be better equipped to compete in the job market as well as in student life.,tips-to-avoid-common-mistakes-in-english-E59O,Afsana Jerin Shayery
The Winning Mindset Formula,57,"Uncover the principles of a winning mindset for personal and professional triumphs.Gain insights into your brain's intricacies, leveraging its power for success.Develop actionable plans to transform goals into tangible achievements.Cultivate mental toughness to overcome challenges with resilience.Craft a goal-aligned daily routine, optimizing habits for success.",the-winning-mindset-formula-V3Od,International Online University
Wired to Succeed,91,"Develop participants' ability to vividly visualize their bright future.Guide them in setting actionable and achievable goals for personal and professional success.Provide a comprehensive understanding of Cognitive Behavioral Therapy (CBT).Walk participants through practical techniques to reprogram their minds for positive behavioral changes.Demonstrate the effective application of CBT principles in various life aspects.Empower participants to enhance mental well-being, relationships, and overall life quality through CBT.Explore the principles of Kaizen for continuous improvement.Guide participants in leveraging the Law of Attraction to attract success and cultivate a positive mindset.Equip participants with strategies for building resilience.Provide tools to effectively overcome obstacles, fostering the mental strength needed for success.",wired-to-succeed-G2tB,International Online University
Deal Closing Secrets,99,"Master the art of strategic negotiation from introduction to deal closure.Seamlessly navigate objections and understand their dynamics.Uncover the three indispensable elements crucial for successful deal closing.Learn a proven and structured approach, ""The Method,"" for effective negotiations.Acquire essential tools and precision techniques to confidently seal deals in real-world scenarios.",deal-closing-secrets-39mO,International Online University
Hands on Python Programming Language,86,"Understand how to declare and use variables to store and manipulate data in programming.Explore the fundamental mathematical operations such as addition, subtraction, multiplication, and division within programming.Learn about various operators, including logical, comparison, and assignment operators, and understand how they influence program behavior.Discover the concept of lists, a versatile data structure in programming that allows the storage of multiple items in a single variable.Master the use of loops to execute a set of instructions repeatedly, enhancing program efficiency and reducing redundancy.Gain proficiency in creating functions, and modular units of code that promote code reusability and organization.Explore dictionaries, a key-value pair data structure, and understand their application in storing and retrieving information efficiently in programming.",hands-on-python-programming-language-cleB,International Online University
Less is More,100,"Understand the core principles for a transformative lifestyle.Learn efficient and mindful travel practices for experiences over possessions.Dive into decluttering, focusing on both spaces and mental clarity.Simplify surroundings and routines for a stress-free lifestyle.Engage in exercises, community support, and live Q&A sessions for personalized growth.",less-is-more-simplifying-your-life-for-greater-happiness-and-productivity-Bhwa,International Online University
Learn Python Programming from the Scratch,93,"Computer Programming with Python LanguageInterfaces of Google Colab and use them properlyPerform any operation of String, List, Tuples, Set, and Dictionaries of Python ProgrammingNumeric operations and different data types of Python ProgrammingSolve complex problems with the Python Language",learn-python-programming-from-the-scratch-f1O1,International Online University
Fiverr Gig Ranking (Boost Your Fiverr Sell),58,We are going to learn Fiverr basics.How to create a Fiverr profile.Fiverr research for Gig.About Gig images and Videos.How to create the perfect Gig.About Gig Ranking.How you are going to promote your Gig.,fiverr-gig-ranking-boost-your-fiverr-sell-w8DW,International Online University
Introduction to Cisco Packet Tracer Network Simulation,57,"You will be able to you will know how the switch, hub, and router will work with a graphical representation of networking components.You can generate and simulate wired and wireless simulationsYou can simulate Static Routing, Network address translation (NAT), Virtual Local Area Network (VLAN), and DHCP DNS HTTP server configuration.",introduction-to-cisco-packet-tracer-network-simulation-WfQk,
Course Engagement Hacks,85,Boost course completion and engagement rates.Understand cognitive nuances in learning.Ignite motivation with the psychology of desire.Design achievement-focused courses.Integrate rewards strategically and master re-engagement techniques.,course-engagement-hacks-3l04,International Online University
White Label Dropshipping,80,"Master the White Label Dropshipping Model.Understand the core principles and advantages of White Label Dropshipping.Develop skills in selecting high-demand, low-competition products.Utilize data-driven strategies for building a profitable and sustainable product portfolio.Craft a compelling brand identity that resonates with the target audience.Explore techniques to differentiate your brand and build trust and loyalty.Establish and maintain strong relationships with suppliers.Develop effective communication and negotiation skills for a reliable supply chain.Design and optimize the online store for maximum user experience.",white-label-dropshipping-8QqG,International Online University
YouTube Channel SEO V2,73,Master YouTube SEO principles for enhanced visibility.Craft compelling titles and descriptions strategically.Optimize video files and leverage impactful thumbnails.Discover optimal video length and gain a competitive edge.Position content for maximum engagement and YouTube success.,youtube-channel-seo-v2-KnWm,International Online University
Image Search Secrets,99,"Master foundational principles and advanced strategies for effective visual search engine optimization.Learn crucial steps to prominently rank on Google Image Search through specialized lessons.Understand the impact of optimization on conversion rates and strike a balance between image quality and efficiency.Explore the significance of filename URL choices and the power of descriptive alt text in image SEO.Experience real-world applicability through a captivating Sales Video Demo, showcasing the practical impact of optimized images on online presence and results.",image-search-secrets-I41R,International Online University
Resilience,91,"Understand the core principles of resilience and debunk common myths.Explore the significance of resilience in various life aspects, including the workplace and relationships.Gain insights into fostering resilience in children for their holistic development.Discover the attributes and benefits of resilient individuals for personal growth.Learn and apply the practical framework of the ""Seven Cs of Resilience"" for personal development and empowerment.",resilience-GWQJ,International Online University
Instagram Marketing Hero,80,"1.  Explore tools and optimize your profile for brand growth.2.  Navigate Stories, IGTV, and selling strategies.3.  Learn to grow followers and create an engaged community.4.  Identify niches, set up catalogs, and boost your online storefront.5.  Create compelling ads, target effectively, and measure campaign success.",instagram-marketing-hero-v8jO,International Online University
Instagram Guides For Beginners,97,Demystify Instagram Guides and understand their intricacies.Learn the top 7 ways to use Instagram Guides for content visibility and engagement.Acquire quick tips for creating successful Instagram Guides that capture attention.Explore strategies for promoting and growing your brand through Instagram Guides.Enhance engagement by understanding effective types of Instagram Guides and promoting content strategically.,instagram-guides-for-beginners-PsVR,International Online University
Amazing Email Marketing Hero,83,"Understand email marketing fundamentals, including opt-in strategies and autoresponders.Explore and evaluate leading email marketing platforms for effective campaigns.Master subscriber base building with compelling squeeze pages and opt-in processes.Implement diverse strategies for driving traffic to your email list.Enhance proficiency with advanced techniques like improving response rates and effective mail sequences.",amazing-email-marketing-hero-K3i7,International Online University
Branding and Marketing in Times of COVID & Beyond,83,"Understand the impact of COVID-19 on branding and marketing.Learn practical re-branding strategies for the post-COVID era.Gain insights into business development and marketing practices.Adapt to changing market dynamics with agility and innovation.Benefit a diverse audience, including students and professionals.",branding-and-marketing-in-times-of-covid-beyond-5Wdg,Prof. Ujjwal K Chowdhury
COVID Impact on Media & Entertainment in the New Normal,79,Understand the Comprehensive Impact of COVID-19 on Media and EntertainmentAnalyze Changes in People's Behavior and Work TrendsDevelop Strategies for Building Stronger Relationships in the New NormalEquip Participants with Practical Skills for Career Advancement,covid-impact-on-media-entertainment-in-the-new-normal-CKej,Prof. Ujjwal K Chowdhury
Effective Communication at Workplace,74,"Demonstrate the use of basic and advanced proper writing techniques that today's technology demands, including anticipating audience reactionDescribe the three-step writing process, and explain why it will help you create better messages in less timePrepare informal and formal reports Use career skills that are needed to succeed, such as using ethical tools, working collaboratively, observing business etiquette, and resolving workplace conflictsPlan successfully for and participate in meetings and conduct proper techniques in telephone usageExplain the importance of business etiquetteIdentify four key areas in which good etiquette is essential",effective-communication-at-workplace-hMVQ,International Online University
Mentoring Learning in a Blended World,83,"The course elucidates upon the new age learning resources and content creation through proprietary, Curated, and aggregated sources. It explains how to deliver the same to the target audiences. The learners use learning management systems and a flipped classroom approach. ﻿It then proceeds to describe all possible ways and means of digital and physical engagement of the learners so that they may internalize and apply the learning received. Finally, the course talks about various ways and means to have formative and summative evaluation, digital and physical assessment, in-class and on-field assessment.",mentoring-learning-in-a-blended-world-pWar,Prof. Ujjwal K Chowdhury
How to Become the Best Teacher,87,Learn about the values and characteristics of teachersGet guidelines on becoming a 21st-century teacherLearn about different modern teaching techniquesLearn about student-centric teachingLearn about effective teaching strategies to assure learningLearn about different assessment types,how-to-become-the-best-teacher-dVOP,Dr. Md. Sabur Khan
Basic Concept of Industrial Engineering for Beginners,73,"The participants will gain clear knowledge about Industrial Engineering.Gain familiarity with key Industrial Engineering concepts relevant to the garment industry and production efficiency.Learn the importance of efficiently utilizing resources to enhance sewing floor production in the garment sector.Explore the application of lean principles and statistical control to improve efficiency, safety, and product quality in garment production.",basic-concept-of-industrial-engineering-for-beginners-emOM,Ms. Murshida Khatun
Introduction to Blockchain,74,"The elementary idea, evolution, and basic components of blockchain technology Hash Function with a practical exampleSMART Contract and different Consensus algorithmsTypes of Blockchain",introduction-to-blockchain-kPs7,International Online University
Integration Simplified: Learn with Ease,56,Different types of integrals in a new form and their solutions Method of substitution Integration by parts Integration of rational function ﻿Properties of definite and indefinite integrals with examples,integration-simplified-learn-with-ease-94Ym,Ms. khadijatul kobra
Essential Ten Topics of Textile Dyeing,60,"Gain a comprehensive understanding of the fundamental principles and concepts involved in textile dyeing.Acquire knowledge about the different types of dyes and their applications in the textile industry.Learn the essential properties of dyes and their impact on the characteristics of dyed materials.Understand the key stages and mechanisms involved in the textile dyeing process, from dye bath preparation to the application of fibers.",essential-ten-topics-of-textile-dyeing-pBsa,Tanvir Ahmed Chowdhury
Azoic Color: Learning an Ingrain Dye in 30 Minutes,90,"Understand the unique characteristics of azoic dye, including its production on the fiber surface during the dyeing process.Learn the essential properties of azoic dye, such as its water insolubility, leading to good wash and lightfastness but poor rubbing fastness.Explore the various names and applications of azoic dye, including its use in creating shades, particularly popular colors like red and orange.",azoic-color-learning-an-ingrain-dye-in-30-minutes-FOKM,Tanvir Ahmed Chowdhury
Dye and Its Classification,79,"The Participants will be able to clarify their idea about the term ‘Dye’.They will learn about the classification of dyes and short descriptions of each class including important characteristics.Understand the fundamental concept of dye and its pivotal role in color production.Gain insights into the classification of dyes, exploring different types and their specific characteristics.Acquire practical knowledge to distinguish between various dye classes, enabling informed decision-making in color production processes.",dye-and-its-classification-k8Io,Tanvir Ahmed Chowdhury
Integrated Marketing Communications,95,Learning the concept of Integrated Marketing Communications Learning the tools and elements of Integrated Marketing Communications ﻿Learning the process of Integrated Marketing Communications,integrated-marketing-communications-fXnF,Prof. Ujjwal K Chowdhury
Web Design Beginner Lesson with HTML and CSS,87,Explore the history and evolution of HTML.Learn about different HTML versions.Identify and use coding software suitable for HTML.Comprehend do’s and don'ts in HTML coding.﻿Understand the structure of HTML through tags and attributes.Apply tags and attributes in HTML coding.Create HTML files using coding software.Run and view HTML files in web browsers.,web-design-beginner-lesson-with-html-and-css-ppmi,International Online University
Programming Basic Concepts with C,67,"After this course, you will be able toLearn basic concepts of programmingKnow the data types and operatorsLearn different conditions and loopsBuild strong problem-solving skillsMake different projects in the C language",programming-basic-concepts-with-c-VGuU,Mr. Biraj Saha Aronya
IELTS WRITING 7+ BAND SCORE : TIPS & TRICKS,64,"Enhance proficiency in IELTS Writing for a band score of 7 or higher.Provide practical tips and tricks for improved performance amid busy schedules.Guide learners in mastering specific essay structures for coherency and success.Teach the ability to differentiate between various essay types for tailored responses.Provide study materials, guidelines, and quizzes for a thorough self-assessment.",ielts-writing-7-band-score-tips-tricks-fEDo,Nahid Sultana Upoma
Learning Google Workspace: Google Slide,65,"Learn to create well-organized and professionally formatted documents.Gain skills in efficient handling, editing, and managing of documents.Enhance overall computer proficiency beyond document tasks.Master Google Workplace tools for document creation and collaboration.",learning-google-workspace-google-slide-d8MU,Faria Nishat Khan
Learning Google Workspace: Google Doc,65,"Learn to create well-organized and professionally formatted documents.Gain skills in efficient handling, editing, and managing of documents.Enhance overall computer proficiency beyond document tasks.Master Google Workplace tools for document creation and collaboration.",learning-google-workspace-google-doc-Hl4A,Faria Nishat Khan
Project Mastery 360: From Planning to Execution,79,Project CharterWork Breakdown StructureEstimates for Project DurationNetwork Diagram and ScheduleComprehensive analysis of critical pathGantt chart schedule and baselineEvaluation and documentation of potential risksStrategies for managing risksInitiation of change requests,project-mastery-360-from-planning-to-execution,Mr. Anowar Ullah
Water Quality Parameters: An Introduction,59,"You will be able to define the water quality parameters in your own way.You will understand the water quality parameters functions/processes.Learn to apply acquired knowledge to assess and address water quality issues, contributing to informed decision-making and problem-solving in various environmental contexts.Understand how knowledge of water quality parameters can be practically applied to environmental management strategies.",water-quality-parameters-an-introduction-Wdih,S. M. Mahmudur Rahman
Getting Started To Robotics For Beginners,50,"Organized starter knowledge for beginners. Backstory and Importance of Robotics in Workplace. Law of Robotics, and its importance for humans. About different Components of Robotics. Different Sensors and their Terminology.",getting-started-to-robotics-for-beginners-47i8,International Online University
Soft Skills Vs. Hard Skills,82,Identify the differences between soft skills and hard skillsLearn about the essential soft skills and hard skills Learn the process of developing soft skills and hard skills Learn how to highlight different soft skills and hard skills for professional purposes,soft-skills-vs-hard-skills-pT2T,Dr. Md. Sabur Khan
Creative Infographics in PowerPoint,60,"What is an Informational graphic and how does it help people in their presentation (quick insight).Learn the step-by-step process with basic information.Creating a bit more advanced amazing connecting light bulb infographic.In the process of creating the infographic, I learned the basic details and instructions of PowerPoint.Customizing shapes and converting them to complex ones though good for illustrating.Cutting, Formatting, Merging, and adding pleasant colors and effects to your own customized shapes, icons, and backgrounds.Adding animation to give the infographic a good dimension.At the end of this course, you will be able to create your own customized infographic using PowerPoint only which professional editors create using high-end software consuming more time. So, if you don’t have the slightest idea about infographics then this basic course is hopefully going to help you.",creative-infographics-in-powerpoint-4VsA,Zahura Zaman
Introduction To Data Science,82,Learn about the importance of data science. Learn about the data science toolbox. Learn about data science basic concepts. Get the experience of lab activities.,introduction-to-data-science-8W8S,Md Umaid Hasan
Ecosystem Services: An Introduction,97,You will be able to define ecosystem services in your own way You will be able to differentiate between the ecosystem servicesYou will understand the ecosystem functions/processes You will be able to understand the importance of the ecosystem and its services,ecosystem-services-an-introduction-JNN6,S. M. Mahmudur Rahman
Modern Secret Key Cryptography,69,"At the end of this course, you will be able to:Describe the basic concept of cryptographyExplain the importance of modern cryptographyDemonstrate the uses of the public and the private keyGet the full overview of AESLearners will know about encryption and how it worksThey will also realize the importance of encryption",modern-secret-key-cryptography-mVJX,Mr. Biraj Saha Aronya
MS PowerPoint: Customized Slide Making – Basic to Advanced,68,"Students will learn how to create amazing and unique presentation slides using MS PowerPointIncorporate multimedia elements such as images, videos, and audioCreate engaging slides with a variety of layouts and text formatting optionsProfessional Presentation for Corporates",ms-powerpoint-customized-slide-making-basic-to-advanced-pzDH,Faria Nishat Khan
Water Supply Engineering,97,Comprehensive Understanding of Water Supply SystemsKnowledge of Water Treatment TechniquesIntegration of Environmental Engineering and Water Supply EngineeringPractical Application in Water Source Selection,water-supply-engineering-pt2Z,Nahid Sultana Upoma
Introduction to Ethical Hacking,88,"The primary objective of this online course is to provide participants with a foundational understanding of ethical hackingThe course aims to educate participants on the legal and ethical aspects of ethical hacking. Upon completion, learners should have a clear understanding of the authorized nature of ethical hacking, the importance of obtaining permission, and the ethical guidelines that govern the practice.Empower participants to apply ethical hacking techniques to enhance the cybersecurity of information, networks, and operating systems.Participants will gain insights into the phases of ethical hacking and the use of ethical hacking tools, enabling them to comprehend the complete lifecycle of ethical hacking and its application in real-world scenarios.",introduction-to-ethical-hacking-F6A3,Md Rajib Mia
Data Analysis Using SmartPLS 3 for Beginners,76,Participants will understand the concept and method behind structural equation modeling.Participants can develop a research model using SmartPLS3 for their research. Participants can estimate very complex models with many constructs and indicator variables.Participants can interpret the assessment criteria for the research model and hypothesis testing using SmartPLS 3.0.,data-analysis-using-smartpls-3-for-beginners-7ean,Dr. Imran Mahmud
Commodity Market,96,"By the end of this course, students will be able to:Understand the basics of commodity tradingIdentify and evaluate different types of commodities and their market trendsAnalyze market factors that impact commodity pricesEvaluate trading strategies and risk management techniques for commodity tradingEvaluate the role of commodity exchanges and market participants in commodity trading",commodity-market-vWHG,Anhar Sharif Mollah
Ethical and Legal Implications of AI in law,91,"Understand AI's role in legal contexts, covering machine learning and natural language processing.Delve into transparency, data privacy, and ethical dilemmas arising in AI-driven legal decisions.Stay abreast of evolving AI regulations and address accountability issues in the legal landscape.Examine practical examples illustrating AI's impact on the legal sector, understanding both benefits and limitations.Encourage participation in discussions, exercises, and case studies to gain a comprehensive view of AI's ethical and legal implications in law.",ethical-and-legal-implications-of-ai-in-law-g2Rm,Dr. S.M. Saiful Hoque
