Question,Answer,URL,Other Info
Can I meet with my course teacher other than class period?,You can contact with your teacher during counseling periods.,,
How can I get the information of DIU Transportation?,"Visit the link: https://daffodilvarsity.edu.bd/article/transport or
https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161
For more quires Contact: Cell No.: +8801847140037, Email: anisur@daffodilvarsity.edu.bd",,
Where can I find information about insurance?,Cell No.: +8801847334799. Email: zonad.accounts@daffodilvarsity.edu.bd,,
How I can get BLC relate service ?,Contact to Department office or Visit: https://sites.google.com/daffodilvarsity.edu.bd/diu-blc-student-guideline/guideline-for-diu-blc-moodle-students?pli=1,,
How I can get the information of DIU Transportation ?,"Visit the link: https://daffodilvarsity.edu.bd/article/transport or
https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161
For more quires Contact: Cell No.: +8801847140037, Email: anisur@daffodilvarsity.edu.bd",,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I select supervisor for Internship?,Department assign a supervisor when the course is offered.,,
How can I get my semester results from website?,"Browse DIU website to find the option of ‘Virtual University’. Click & enter your ID in the Academic Result box. When you press enter, your results will be displayed.",,
How can I sit in the improvement exam?,"Collect the Form of improvement exam from the department office and fill up the Form.


Pay required fees for improvement exam in the accounts section and get the clearance.


Then you submit the form to the department office. The department office will send the form to the relevant teacher.",,
What is the fees of improvement exam?,The student has to pay 40% of the course fees to attend the mid-term improvement exam and 60% of the course fees for the finalexam improvement.,,
How can I get my admit card for Mid Term and Final Exams?,Pay your instalment (fees) and collect your exam clearance/admit card showing the money receipt from the Accounts Section. You need to preserve the exam clearance/admit card for sitting the exam.,,
How I will get a concern letter/ MoI/ LoR/ Testimonial and etc. (For running students),You have to pay TK. 50 to Accounts section or pay through online. Write your father’s and mother’s name backside of the money receipt.Then submit an application to Head of the Department. Attach the money receipt along with the application within 2 working days.,,
"How I will get a Concern Letter, MoI, LoR, Testimonial, Migration Certificate and etc. (For alumni)","You have to pay TK. 50 through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login 


For any query, pls mail at: registraroffice2@daffodilvarsity.edu.bd",,
How can I withdraw academic transcripts/ certificate?,"Pay your required fees to the DIU accounts section or pay through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login",,
When I will be allowed for provisional certificate?,"After the completion of all required credits for the degree, you will be allowed for provisional certificate until the subsequent convocation ceremony.",,
How I get Internship letter?,"You must complete all courses to start internship while maintaining at least CGPA of 2.50.


Collect internship form from the department office. Fill up the form and get the required signatures.


Pay fees and take Accounts clearance


Submit the form to department office together with clearance receipt.",,
Where can I find information about insurance?,"Contact to the office of the Director of Finance and Accounts


Cell No: +8801847334799,  Email: treasureroffice@daffodilvarsity.edu.bd",,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
How to check payment ledger from student portal?,Login to student portal and click “payment” option for student payment ledger and payment scheme.,,
What is the process of teaching evaluation?,"Login to student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website
Officers: 
https://daffodilvarsity.edu.bd/administration


Teachers: 
http://faculty.daffodilvarsity.edu.bd/",,
How I can join in International Summer Programs?,Please contact International Affairs Office,,
How I can transfer credit with a foreign university?,Please contact International Affairs Office,,
What are the requirements to get Laptop from university?,You have to complete at least 4 semesterssuccessfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How to solve Multimedia/ IT related Problem?,Contact department office.,,
How can I solve the Email password problem?,Contact department office.,,
How can I change Department/Program?,Collect the Department Change Form from Registrar Office. Fill-up and collect sign from respective Deans and Heads.Clear all dues and submit the form to Registrar Office for approval.,,
How may I get scholarship from foreign university?,Call for Applications for different scholarship opportunities are regularly posted in the Notice Board and social media Pages of DIU International Affairs. See the regular updates and check your student e-mail. Contact with the officials of the office of the DIU International Affairs for further information and clarifications.,,
How may I reserve class room for extra class?,Come to the department office and contact with coordination officer for booking class room.,,
How much do we need to pay in second (before mid-term) and third (before final) installment?,"You have already paid the registration fees in the beginning of the semester.  Now, multiply the 
no of credits
 you have registered in current semester with 
per credit tuition fees
 for your program. The result is the total amount you have to pay in two equal parts in the time of mid-term and final exams respectively. 


You can also askthe respective officers of the Account Section and/or you can check the Ledger inthe Students’ Portal.",,
When is the payment date?,The date of payment will be notified through online notice board and through the mail.,,
Where can I get my scholarship/waiver information?,You can get your scholarship/waiver information from the Registrar Office.,,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). Submit the photocopy of the GD to the Admission Section. The Admission Section will give you the further instructions.",,
How can I get my class routine of the semester?,"You can find your class routine in the departmental notice board, online notice board and in your email.",,
I cannot login in the student portal. How can I get access to the student portal?,The detailed information regarding the reset option of student portal password is given in the notice board of the department. Please follow the instructions.,,
How can I solve the Email password problem?,You need to pay Tk20/- to Account section and fill-up the register book from the department office for specific problem.Department office will send an e-mail to IT section to solve the problem and then inform you the solution.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
Do you have any waiver facilities?,"Yes we do. Please visit this link for details: 
https://daffodilvarsity.edu.bd/scholarship",,
How can I get a waiver as a new student?,"New students can enjoy our offered waiver like result based, need based, relationship quota, freedom fighter quota, tribal quota, disablity quota & talent hunt scholarship",,
Am I eligible to get a waiver?,"Result with 4.50 (for Social Science), 4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",,
How many waivers can I enjoy?,One students is eligible to get waiver maximum in one category. If eligible for more than one then highest percentage is provided.,,
Who qualifies for a waiver?,"We offer waiver on the basis of HSC (or equivalent) result. Students having result with 4.50 (for Social Science), 4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",,
What is the waiver for both GPA Golden 5?,75% and student must maintain semester result 3.50,,
What is the waiver for Golden 5 in HSC?,50% and student must maintain semester result 3.25,,
What is the waiver for both GPA 5?,35% and student must maintain semester result 3.25,,
What is the waiver for 5 in HSC?,25% and student must maintain semester result 3.00,,
Do you provide waiver for below GPA 5.00 in HSC,"Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC for details please visit the link: 
https://daffodilvarsity.edu.bd/scholarship",,
"If I am not eligible to get waiver on SSC and HSC result, meanwhile i get into financial crisis during my degree is there any way to get any support?","Yes. We offer Need Based Waiver for those students who get into an unfortunate financial crisis. Such Student can apply for financial aid from second semester through online. See the link. 
http://financialaid.daffodilvarsity.edu.bd/?app=home",,
Do you have siblings quota waiver?,Yes same parental sibling get waiver. Each will get 20% tution fees waiver and students have to maintain semester result 3.00,,
Is there any waiver for Spouse?,Yes we offer 20% waiver for Spouse. Couple has to fill a prescribed waiver form with marriage certificate during their admission,,
How much waiver can a tribal get from DIU?,"Tribal students of Bandarban, Khagrachari, Rangamti will get 15% tuition fees waiver and students have to maintain semester result 3.00",,
Do you have any waiver facilities for physically challenged student?,Yes. Physically challeged student will get 25% tuition fees waiver and  students have to maintain semester result 3.00,,
Do you have semester result based waiver?,Yes we do. Students can enjoy 10%-50% tuition fees waiver based on their semester result.,,
How can I get a additional waiver?,"Students can not get waiver more than one category. But those without having any kind of waiver can apply for financial aid with prescribed form.


Link: 
http://financialaid.daffodilvarsitye.edu.bd",,
Do I have to submit a separate waiver form in every semester?,No you don't have to fill form in every semester. It will generate automatically.,,
"I have a problem with my waiver, whom can I talk with?",Please contact to the duty officer of Admission office and Registrar office.,,
My waiver is approved but why it's not showing in the student portal?,You have to wait till it's update by the accounts section. If it's not updated within a semester then contact with duty officer of accounts section.,,
Can a student from Daffodil Int. College get a waiver?,DIU offers 20% tuition fees waiver for the students of Daffodil International College. They will get 30% tuition fees waiver for their improved result in HSC than SSC examination.,,
How much one can get from need based waiver quota?,"Students who are not financially very sound may apply for TFW by applying in a prescribed Financial Aid Form and undergo an interview with the waiver/scholarship committee. The committee may grant 10-30% TFW case by case depending on the financial crisis of the students.


http://financialaid.daffodilvarsity.edu.bd/?app=home",,
Is there any waiver for Employees' Or their Spouse/ Siblings/Ward?,Yes. DIU employees or their first blood relatives will get 50% tuition fee exemption. They will have to maintain a GPA 3.00. No restriction will be imposed in taking courses on the employees of DIU. The waiver will be effective only if the employee gained one year working experience from DIU otherwise the waiver will not be enjoyable. DIU employees must serve at DIU at least for 2 years after completion of degree. Otherwise they have to return half of the benefit received while quitting the service. The employee will have to submit a Letter of Commitment in Stamp Paper in this regard.,,
"If I am getting waiver in one category, may I get waiver in another category?",The students who are already enjoying waiver benefits in any category should not apply for further waiver benefits. The students who are already enjoying waiver benefits in any category should not apply for further waiver benefit.,,
What happened to my waiver if i change department?,"In case of transferred students from one program to another, to retain the received waiver benefit students have to fill a Form again after changing their Program.",,
Will I get waiver on total Fees?,"Waiver benefit is applicable only for tuition fee and not applicable for Admission fee, Semester fee, Library fee, Lab fee, Extra Curricular activities fee, Improvement, Retake, Project/Dissertation/Internship etc.",,
Is there any waiver for the Siblings of DIU Alumni?,10% tuition fee exemption will be given for DIU Alumni or their first blood relatives and for enjoying the benefit they will have to maintain a GPA 3.00.,,
Is there any waiver quota for the players?,"Yes. The national player will get Full free scholarship, Premier division players will avail 90% and First division player will avail 80% tuition fee waiver (from any back ground or event) excluding other fees until special consideration or recommendation and students have to maintain semester result 2.50",,
"I applied for financial aid but it's declined, what can I do?",Please find out the reason for decline and try to apply again with improved result.,,
How long does it take for a waiver to be approved?,Waiver will be approved within the semester final exam.,,
What are the deadlines for submitting a waiver form?,Students need to submit waiver form before registration to be approved in time.,,
What options do I have if my waiver is denied?,You can seek considereation of authority and can apply again after overcoming your lackings,,
Is there any waiver for credit transfer students?,No. Credit trasferred students can not get any waiver facilities.,,
I am a diploma holder. Can I get any waiver on diploma result?,No. There is no waiver facilities on diploma result but they can get waiver on their SGPA.,,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your online clearance from the Account Section by paying fees of registration then contact your batch advisor. He/ she will complete your course registration as per the rule. After the completion you have to check your student portal to be sure about the course registration.",,
What are the conditions to apply for financial aid,"a) Student completing minimum 1st semester with minimum SGPA 3.00 and not enjoying any waiver  and facing financial  crisis are eligible for financial aid; b) Considering low cost  programs, need based waiver may not be offered to the students ofB.com (Honors), BA. (Honors) in English, Evening programs and other similar programs (except  for Freedom Fighter quota)",,
I am getting waiver on HSC result/ need based/ Freedom Fighter quota/ Female/Sibling/spouse/Others quota. I failed to maintain required SGPA in last semester. What can I do,"Your waiver be stopped only for current semester.  But if you achieve the required SGPA  with required credits in current semester, Your waiver will be continued  for next  semester automatically",,
I have achieved the required SGPA in last semester to have waiver on tuition fees. What should I do to enjoy the waiver?,"This category of waiver implemented automatically by the system with approval of concern personnel. Though you face any problem  in paying of tuition fees, you can  contact in Accounts section or Registrar Office",,
"If I can get opportunity to have waiver on more than one category, which one do I get",You can enjoy the category in which percentage of waiver is the highest. You cannot enjoy waiver on more than one category.,,
I am a Cricket/Football/Badminton/Others player. Is their any waiver for player for player in DIU?,"DIU provides waiver on player quota. For details please visit the link


Link: 
http://daffodilvarsity.edu.bd/scholarship",,
What will happen to my waiver in case of changing campus,"In case of transferred students from one campus to another, to retain the received waiver benefit students have to apply again after changing their campus.",,
I am a Female student of Evening shift. Can I enjoy waiver on female quota,Female quota waiver is only applicable for female students of day programs except Diploma holders.,,
How do I complete course registration in the semester? (For new Students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up 
Student Insurance Form
 (given during the admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal (http://studentportal.diu.edu.bd/login) to be sure about your registration.",,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
How can I Change/ Add/Drop subject after the registration in the semester?,"After the registration, you may be able to Change/Add/Drop your subject within 7 days after the last date of the registration. To Change/Add/Drop your subject, you must meet your batch coordinator. He/she will help to complete the work.",,
What can I do to drop the semester? (Before Registration),"In case for specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
What about the courses of previous syllabus? Do I register myself with previous code as I am a student of previous syllabus?,Students can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester? (After Registration),"In case after the registration, if you need to drop the semester, you have to write an application for approval and submit to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you need to check the student portal and contact to the department office to be sure about the semester drop",,
What will be the procedures if I would like to take extra courses in next semester?,Students may apply to the Dean through Head of the department.,,
How can I complete course registration in the Semester? (For New Students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up Student Insurance Form (given during the admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal 
(http:
/
/studentportal.diu.edu.bd/login) 
to be sure about your registration.",,
What can I do for registration when the registration date is over?,The late registration process is given in the notice board. Please follow the instructions and contact to the department office for further help,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
I want to take extra courses next semester?,Students may apply to the Dean through Head of the department.,,
How I can extend my registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension.",,
How I can extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension",,
When the courses will be offered for (Spring /Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board),,
I want to register one course with day/evening program due to some problem. Is it allowed to take?,Students can do that but have to write an application to the head of the Department. If Dean approves then it is allowed.,,
What is the process of doing duel-major?,If the student wants to do duel-major he has to communicate with the mentor or department office. The office will provide a guideline for the student which he will follow during the rest of the semesters.,,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I complete course registration in the Semester? (For Existing Students),"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
1. How do I complete course registration in the semester? (For new Students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to contact Department office to complete your registation process.  After the registration, you have to check the student portal (http://studentportal.diu.edu.bd/login) to be sure about your registration.",,
How can I select Supervisor for internship?,Contact your Head who will assign your supervisor for internship & thesis.,,
How can I get my result from website?,At first browse DIU website then follow the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
How can I get Supervisor for Internship?,After complete your internship registration process please contact your department office to know the information of your internship Supervisor.,,
I have two exams in same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How can I get my result from website?,At first browse DIU website then follow the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
"How I can take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 taka to DIU accounts and submit the application to the department with transcript and collect the documents from your department.,,
How I get Internship letter?,"You must complete all theoretical subjects to start internship.


Maintain at least CGPA 2.5


Take internship form from Department office


Fill up the form which will be signed by respective supervisor.


Pay fees and take Accounts clearance


Submit to department office",,
2. How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your online clearance from the Account Section by paying fees of registration and then contact your batch advisor. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
"How I can take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 taka to DIU accounts and submit the application to the department with transcript and collect the documents from your department.,,
3. How can I Change/ Add/Drop subject after the registration in the semester?,"After the registration, you may be able to Change/Add/Drop your subject within 7 days after the last date of the registration. To Change/Add/Drop your subject, you have to conact your batch advisor for further procedure.",,
When I will be allowed for provisional certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
How can I withdraw academic transcripts/ certificate?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You may reset the password as per forgot password option.,,
How can I get my class routine of the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). After getting the GD paper, you have to submit it to the Admission Section. The Admission Section will give you the further instruction for getting ID card.",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section.


Cell No.: +8801811458843


Email: panna@daffodilvarsity.edu.bd


 


Cell No.: +8801811458848


Email: scholarship1@daffodilvarsity.edu.bd",,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
I have two exams in same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
What is the installment amount?,"The student has to pay the fee in two installments after registration 1
st
 installments must be paid before mid-term and the rest before the final",,
How may I reserve class room for extra class?,Come to department office and contact with coordination officer for booking class room,,
How I may solve DIU portal problem?,You will come to the department office and contact with coordination officer.,,
Do I have to attend minimum classes to attend the exam?,Minimum 60% Classes you have to attend.,,
How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I change Department?,Collect a form from Registrar Office. Fill-up and collect sign from Dean and Department Head. Clear all dues and submit to Registrar Office,,
What is the criteria of minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How Can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
How can I change section of courses,You have to submit application through Head of the Department-to-Department Office.,,
"How can I take Concern, MoI, LoR, Testimonial, Migration Certificate etc. (Current students)",Pay 50 Taka to DIU accounts and submit the application to the department office with transcript and money receipt then collect the documents from your department.,,
How to solve Multimedia/ IT related Problem,Contact with department office.,,
"How can I take Concern, MoI, LoR, Testimonial, Migration Certificate etc. (Alumni)",Please apply through students’ application system by paying 50 Taka through online payment system.,,
What is the requirement to get a laptop?,You have to complete minimum …..courses ……. credits successfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How can I get Internship letter?,You must complete all course work before Internship course and maintain at least CGPA 2.5. Then you have to complete all the formalities to complete internship registration. After completing your registration process contact your department office to get your Internship letter.,,
How I can transfer credit with a foreign university or interested to join in summer program?,"Please contact International Affairs Office at AB-4, Ground Floor.",,
How can I teacher/officer number.,"Visit DIU website for Officer: 


https://daffodilvarsity.edu.bd/page/admin_page_detail/top-management


For teachers:  
http://faculty.daffodilvarsity.edu.bd/",,
When I will be eligible for taking Provisional Certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
What is the process of teaching evaluation?,Log in to student portal and update the profile. After that fill the evaluation form and submit it. If needed any help contact with admission office.,,
4. What can I do to drop the semester? (Before Registration),"In case for specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
How to check payment ledger from student portal?,Log in to student portal and click “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,You can contact with your teacher during counseling periods.,,
How can I withdraw Academic transcript and certificate?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (for new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
Where can I find information about insurance?,"Cell No.:
 +8801847334799


Email: zonad.accounts@daffodilvarsity.edu.bd",,
How can I solve email password problem?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
How can I get BLC related service?,"Contact to Department office or Visit: 
https://sites.google.com/daffodilvarsity.edu.bd/diu-blc-student-guideline/guideline-for-diu-blc-moodle-students?pli=1


Cell No.: +8801847027540


Email: blc1@daffodilvarsity.edu.bd",,
How I can reset student portal password?,You may reset the password as per forgot password option.,,
How can I get my class routine?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
How can I get the information of DIU Transportation?,"Visit the link: 
https://daffodilvarsity.edu.bd/article/transport
 or


https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161


For more quires Contact:


Cell No.: +8801847140037


Email: anisur@daffodilvarsity.edu.bd",,
5. What about the courses of previous syllabus? Do I register myself with previous code as I am a student of previous syllabus?,"If students want to take a retake course, he/she has to write an application to the the Head of the department.",,
I have lost my ID Card?,"At first, you have to go to the Police Station to do a General Dairy (GD). After getting the GD Paper, you have to pay 300 taka at DIU accounts then contact with one card office along with your GD copy, money recipet and one PP Size photo.",,
How do I complete course registration in the semester? (For new Students),"At first, you have to collect your account
clearance by paying the registration fees in
Account Section and then you have to come to CIS
department office along with your filled up
Student Insurance Form (given during the
Admission). Then you have to submit your
account clearance form and insurance form in
CIS department office to complete your
registration. After registration, you have to
check the student portal
(http://studentportal.diu.edu.bd/login) to be sure
about your registration.",,
Where can I get my scholarship/ waiver information?,"You can get your scholarship/ waiver in scholarship/ waiver section. Cell no. +8801811458843, Email: 
scholarship@daffodilvarsity.edu.bd
, 
scholarship1@daffodilvarsity.edu.bd",,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your account
clearance from the Account Section by paying
fees of registration and then you have to submit
it (Keep a photocopy) to your batch coordinator.
He/she will complete your course registration as
per the rule. After the completion, you have to
check the student portal to be sure about the
course registration.",,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
How can I Change/ Add/Drop subject after the registration in the semester?,"After the registration, you may be able to
Change/Add/Drop your subject within 7 days
after the last date of the registration. To
Change/Add/Drop your subject, you must meet
your batch coordinator. He/she will help to
complete the work.",,
What is the payment schedule?,The student has to pay the fee in two installments after registration 1st installments must be paid before mid-term and the rest before the final.,,
What can I do to drop the semester? (before Registration),"In case specific reasons, if you could not pay
your registration fees and did not complete the
registration, then you must drop the semester in
the student portal and inform your mentor about
semester drop.",,
How can I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I change my department?,Collect a form from Admission Office. Fill-up and collect sign from Dean and Department Head. Clear all dues and submit to Registrar Office.,,
What about the courses of previous syllabus? Do I register myself with previous code as I am a student of previous syllabus?,"Students can do registration with previous
syllabus with an application to the Head of the
CIS department.",,
How to solve multimedia/ IT related problem?,Contact with department office.,,
What can I do to drop my semester? (After Registration),"In case after the registration, you need to drop
the semester, you have to write an application for
approval and submit it to the CIS department
office. The signed application must be submitted
to the Dean Office within 2 weeks of the last date
of registration. After the approval of the Dean,
You need to submit it to the Registrar Office for
final approval. One week later you need to check
the student portal and contact the department
office to be sure about the semester drop.",,
How can I get Faculty/ Officer contact information?,https://daffodilvarsity.edu.bd/department/architecture/faq#:~:text=Visit%20DIU%20website%20for%20Officer%3A%20https%3A//daffodilvarsity.edu.bd/page/admin_page_detail/top%2Dmanagement.%20For%20teachers%3A%20http%3A//faculty.daffodilvarsity.edu.bd/,,
What can I do for registration when the registration date is over?,"The late registration process is given on the notice
board. Please follow the instructions and contact
the CIS department office for further help.",,
What is the procedure of Teaching evaluation?,Log in to student portal and update the profile. After that fill the evaluation form and submit it. If needed any help contact with admission office.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study,"Please follow the instructions of re-admission
given in the notice board and contact the CIS
Department office.",,
I want to take extra courses next semester?,"Students may apply to the Dean through the Head of
the CIS department.",,
How I can extend registration duration for more than six years?,"Please submit your written application to the
Registrar, DIU through Dean and Head of the
CIS Department for time extension",,
6. What can I do to drop my semester? (After Registration),"In case after the registration, if you need to drop the semester, you have to write an application to the Registrar through the Head of the Department and the Dean of the Faculty for the approval within two weeks of the last date of the registration. You need to submit your written application to the department office. Department office will proceed your application to the Registrar office for further help.",,
When the courses will be offered for (Spring /Fall) this semester?,"CIS Office will publish the courses offered on
the notice board. Follow the notice board. (online /
department notice board)",,
How to check payment ledger from student portal?,Log in to student portal and click “payment” option for student payment ledger and payment scheme.,,
I want to register one course with day/evening program due to some problem. Is it allowed to take?,"Students can do that but have to write an
application to the head of the CIS Department. If
Dean approves then it is allowed.",,
What is the process of doing duel-major?,"Department of Computing and Information
The system does not offer duel-major.",,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay
your exam fees in Account Section following the
schedule date and the Account Section will
generate your exam clearance. You need to
preserve the clearance for the exam.",,
What is the fees of improvement exam?,"The student has to pay 60% of the course fee to
attend the final improvement exam",,
How do I complete course registration in the semester? (For new students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up Student Insurance Form (given during the admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal 
(http:
/
/studentportal.diu.edu.bd/login) 
to be sure about your registration.",,
How I can give midterm improvement exam?,"There are no improvement facilities for the
midterm exam.",,
How can I select Supervisor for internship?,"Contact your Project/Thesis committee & they
will assign your supervisor for the internship &
thesis.",,
How can I get my result from website?,"Please click the following Link:
http://studentportal.diu.edu.bd/#/result",,
How can I get the total result of the courses that I have completed?,"You ought to pay your transcript fees in
Account Section & apply for the transcript from
your “Student Portal” and go to the exam office
and collect your transcript when your transcript
is ready.",,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
I have two exams in same slot. Can I attend the improvement exam without fee?,"You can attend the improvement exam without
fee in case of overlapping of exam.",,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend.,,
How do I complete course registration in the semester? (For new Students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up 
Student Insurance Form
 (given during the admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal (http://studentportal.diu.edu.bd/login) to be sure about your registration.",,
What is the minimum CGPA to get the certificate?,"The minimum CGPA is 2.50 to get the
certificate.",,
Eligibility to attend is the final Improvement Exam?,"Students who got less than “Grade B”
(less than GPA 3.00) may apply",,
How can I remove result block?,"Clear your previous dues and contact with
Registrar Office/Exam Office for removal of
block result",,
How I can take concern letter/ testimonial for job purposes.,"Pay 50 taka at DIU accounts section. Take
accounts clearance and submit to the Registrar
Office after applying the student application
from the “Student Portal”.",,
How can I complete my course registration in the semester? (For existing students),"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
How I get Internship letter?,"You must complete all theoretical subjects to
start internship.Maintain at least CGPA 2.5
Take internship form from Department office
Fill up the form which will be signed by
respective supervisor.
Pay fees and take Accounts clearance
Submit to the department office",,
